BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6366,29, ,B1,8633 17TH AVENUE, ,11214,2,0,2,"1,933","3,240",1901, 	1 ,B1, $	-00.00 ,4/17/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6366,36, ,B1,8615 17TH AVE, ,11214,2,0,2,"1,813","1,840",1950, 	1 ,B1, $	-00.00 ,6/27/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6366,46, ,S2,1718 86TH   STREET, ,11214,2,1,3,"1,251","2,565",1916, 	1 ,S2," $	4,680,000.00 ",8/2/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6367,62, ,B3,40 BAY 17TH   STREET, ,11214,2,0,2,"4,833","2,346",1915, 	1 ,B3, $	-00.00 ,1/13/18
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6367,66, ,B2,46 BAY 17TH STREET, ,11214,2,0,2,"2,610","1,656",1899, 	1 ,B2," $	950,000.00 ",11/8/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6368,1, ,B2,75 BAY 17  STREET, ,11214,2,0,2,"6,863","2,868",1915, 	1 ,B2," $	2,000,000.00 ",4/19/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6368,37, ,S2,8614 18 AVENUE, ,11214,2,1,3,"1,933","3,000",1928, 	1 ,S2, $	-00.00 ,11/29/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6368,38, ,S2,8618 18TH AVENUE, ,11214,2,1,3,"1,933","2,880",1921, 	1 ,S2, $	-00.00 ,11/29/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6369,22, ,S2,8659 18TH AVENUE, ,11214,2,1,3,"1,567","3,290",1920, 	1 ,S2, $	-00.00 ,1/31/18
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6369,69, ,B1,48 BAY 19TH STREET, ,11214,2,0,2,"1,800","2,032",1930, 	1 ,B1, $	-00.00 ,3/30/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6369,93, ,B3,106 BAY 19TH   STREET, ,11214,2,0,2,"1,265","1,260",1935, 	1 ,B3, $	-00.00 ,6/30/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6370,64, ,B2,24 BAY 20TH, ,11214,2,0,2,"2,417","1,584",1930, 	1 ,B2," $	826,819.00 ",5/24/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6371,80, ,B2,8670 19TH   AVENUE, ,11214,2,0,2,"2,223","2,520",1930, 	1 ,B2," $	610,000.00 ",4/24/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6372,6, ,B2,1911 BENSON AVENUE, ,11214,2,0,2,"5,383","2,201",1930, 	1 ,B2," $	1,200,000.00 ",11/21/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6372,14, ,B1,8687 19TH AVENUE, ,11214,2,0,2,"1,600","3,162",1920, 	1 ,B1, $	10.00 ,8/16/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6372,44, ,B2,8615 19TH AVENUE, ,11214,2,0,2,"3,867","3,235",1930, 	1 ,B2," $	1,600,000.00 ",4/19/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6373,27, ,B2,51 BAY 22ND   STREET, ,11214,2,0,2,"3,867","1,858",1935, 	1 ,B2, $	-00.00 ,6/14/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6379,74, ,B2,74 BAY 29TH   STREET, ,11214,2,0,2,"4,833","2,845",1899, 	1 ,B2, $	-00.00 ,12/27/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6391,12, ,B1,8757 14TH   AVENUE, ,11228,2,0,2,"2,127","2,025",1950, 	1 ,B1, $	-00.00 ,10/17/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6391,15, ,B9,8747 14TH AVENUE, ,11228,2,0,2,"2,127","1,701",1950, 	1 ,B9," $	1,150,000.00 ",6/29/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6391,16, ,B9,8745 14TH AVE, ,11228,2,0,2,"2,288","1,701",1950, 	1 ,B9, $	-00.00 ,10/27/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6393,39, ,B1,87 BAY 8TH   STREET, ,11228,2,0,2,"2,296","2,160",1940, 	1 ,B1," $	1,230,000.00 ",9/15/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6394,16, ,B9,8745 15TH   AVENUE, ,11228,2,0,2,"3,867","2,400",1955, 	1 ,B9," $	1,550,000.00 ",7/3/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6394,34, ,B1,8697 15TH AVENUE, ,11228,2,0,2,"2,336","2,160",1940, 	1 ,B1," $	1,380,000.00 ",5/4/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6395,46, ,B1,94 BAY 11TH   STREET, ,11228,2,0,2,"2,171","1,920",1935, 	1 ,B1," $	1,130,000.00 ",4/25/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6396,28, ,B1,117 BAY 11TH STREET, ,11228,2,0,2,"1,933","2,080",1899, 	1 ,B1, $	-00.00 ,8/28/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6396,38, ,B1,1552 BENSON AVENUE, ,11228,2,0,2,"1,800","2,268",1930, 	1 ,B1, $	-00.00 ,12/15/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6396,38, ,B1,1552 BENSON AVENUE, ,11228,2,0,2,"1,800","2,268",1930, 	1 ,B1," $	600,000.00 ",10/25/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6396,63, ,B9,8736 16TH AVENUE, ,11214,2,0,2,"1,933","2,160",1960, 	1 ,B9, $	-00.00 ,9/20/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6397,16, ,B1,8745 16TH   AVENUE, ,11214,2,0,2,"2,925","2,160",1925, 	1 ,B1," $	1,192,044.00 ",10/26/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6398,51, ,B2,116 BAY 14TH STREET, ,11214,2,0,2,"2,419","2,350",1930, 	1 ,B2," $	900,000.00 ",8/9/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6399,16, ,B3,147 BAY 14TH STREET, ,11214,2,0,2,"3,792","1,178",1930, 	1 ,B3," $	1,100,000.00 ",12/1/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6399,21, ,B2,131 BAY14TH STREET, ,11214,2,0,2,"2,167","2,104",1925, 	1 ,B2," $	950,000.00 ",3/21/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6405,34, ,B1,8726 19TH   AVENUE, ,11214,2,0,2,"1,320","2,160",1920, 	1 ,B1," $	1,050,000.00 ",6/21/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6405,37, ,B1,8732 19TH   AVENUE, ,11214,2,0,2,"4,180","1,136",1899, 	1 ,B1," $	1,398,000.00 ",11/10/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6406,23, ,B9,1900 BENSON AVENUE, ,11214,2,0,2,"5,201","1,446",1899, 	1 ,B9," $	2,000,000.00 ",5/16/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6406,115, ,B2,N/A 19TH   AVENUE, ,11214,2,0,2,"4,320","1,459",1935, 	1 ,B2, $	-00.00 ,5/16/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6408,16, ,B2,121 BAY 23RD STREET, ,11214,2,0,2,"5,730","2,392",1899, 	1 ,B2," $	1,625,000.00 ",11/22/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6408,18, ,B2,115 BAY 23RD STREET, ,11214,2,0,2,"3,192","1,944",1899, 	1 ,B2," $	900,000.00 ",12/7/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6408,22, ,B9,107 BAY 23RD   STREET, ,11214,2,0,2,"1,974","2,520",1940, 	1 ,B9," $	990,000.00 ",4/11/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6424,30, ,B9,8797 14TH   AVENUE, ,11228,2,0,2,"2,425","3,601",1935, 	1 ,B9," $	1,300,000.00 ",6/13/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6425,50, ,B1,186 BAY 8TH   STREET, ,11228,2,0,2,"2,900","2,360",1930, 	1 ,B1, $	-00.00 ,3/23/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6426,36, ,B1,179 BAY 8TH   STREET, ,11228,2,0,2,"1,933","2,055",1955, 	1 ,B1," $	1,120,000.00 ",11/13/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6429,15, ,B1,225 BAY 11TH STREET, ,11228,2,0,2,"2,433","2,280",1935, 	1 ,B1," $	1,400,001.00 ",1/23/18
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6430,29, ,B9,8791 16TH AVENUE, ,11214,2,0,2,"2,000","2,614",1965, 	1 ,B9, $	-00.00 ,10/31/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6432,8, ,B1,1659 CROPSEY AVENUE, ,11214,2,0,2,"1,916","1,762",1960, 	1 ,B1, $	-00.00 ,3/28/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6432,18, ,B9,211 BAY 14TH   STREET, ,11214,2,0,2,"2,268","1,668",1950, 	1 ,B9, $	-00.00 ,8/8/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6432,54, ,B1,8808 17TH   AVENUE, ,11214,2,0,2,"2,203","2,144",1925, 	1 ,B1, $	-00.00 ,12/7/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6432,138, ,S2,1660 BATH AVENUE, ,11214,2,1,3,"1,883","3,960",1925, 	1 ,S2, $	-00.00 ,3/30/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6433,16, ,B1,8813 17TH AVENUE, ,11214,2,0,2,"2,127","2,000",1901, 	1 ,B1," $	988,000.00 ",8/30/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6433,29, ,B3,8791 17TH   AVENUE, ,11214,2,0,2,"1,837","1,470",1920, 	1 ,B3," $	850,000.00 ",2/1/18
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6433,34, ,S2,1708 BATH AVENUE, ,11214,2,1,3,"1,933","3,816",1920, 	1 ,S2, $	-00.00 ,10/12/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6434,2, ,B3,1749 CROPSEY AVENUE, ,11214,2,0,2,"1,524","1,740",1930, 	1 ,B3," $	970,000.00 ",9/6/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6438,44, ,B9,8788 19TH   AVENUE, ,11214,2,0,2,"1,937","2,620",1965, 	1 ,B9," $	1,180,000.00 ",6/29/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6440,31, ,S2,1932 BATH AVENUE, ,11214,2,1,3,"2,175","4,400",1920, 	1 ,S2," $	1,545,000.00 ",12/1/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6440,33, ,S2,1936 BATH AVENUE, ,11214,2,1,3,"2,015","2,740",1910, 	1 ,S2, $	-00.00 ,6/20/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6445,1, ,B1,2121 CROPSEY AVENUE, ,11214,2,0,2,"2,925","2,406",1925, 	1 ,B1, $	-00.00 ,11/2/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6447,16, ,B1,201 BAY 29TH   STREET, ,11214,2,0,2,"1,933","1,976",1945, 	1 ,B1, $	10.00 ,4/24/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6459,19, ,B9,307 BAY 8TH STREET, ,11228,2,0,2,"1,442","1,640",1925, 	1 ,B9," $	920,000.00 ",12/26/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,87, ,B1,317 BAY 10TH STREET, ,11228,2,0,2,"1,933","1,860",1955, 	1 ,B1, $	-00.00 ,5/4/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,91, ,B1,307 BAY 10TH   STREET, ,11228,2,0,2,"1,933","1,860",1955, 	1 ,B1," $	990,000.00 ",3/10/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,96, ,B3,297 BAY 10TH   STREET, ,11228,2,0,2,"1,740","1,629",1955, 	1 ,B3," $	960,000.00 ",8/1/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,135, ,B2,284 BAY 11TH STREET, ,11228,2,0,2,"5,800","2,715",1901, 	1 ,B2, $	-00.00 ,3/30/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,167, ,B1,321 BAY 11TH STREET, ,11228,2,0,2,"2,301","2,128",1950, 	1 ,B1," $	1,135,000.00 ",11/29/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,311, ,B3,340 BAY 10TH   STREET, ,11228,2,0,2,"1,740","1,876",1950, 	1 ,B3," $	920,000.00 ",6/1/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,317, ,B3,352 BAY 10 STREET, ,11228,2,0,2,"2,742","1,870",1950, 	1 ,B3," $	1,420,000.00 ",12/8/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,405, ,B1,277 BAY 10TH   STREET, ,11228,2,0,2,"1,901","1,662",1950, 	1 ,B1, $	-00.00 ,6/15/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6461,103, ,B3,255 BAY 14TH   STREET, ,11214,2,0,2,"1,827","1,152",1930, 	1 ,B3," $	930,000.00 ",1/11/18
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6461,224, ,B1,250 BAY 14TH   STREET, ,11214,2,0,2,"1,746","1,890",1940, 	1 ,B1, $	-00.00 ,3/23/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6461,227, ,B9,8941 16TH AVENUE, ,11214,2,0,2,"2,017","1,240",1940, 	1 ,B9," $	835,000.00 ",5/22/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6461,276, ,B3,263 BAY 13TH STREET, ,11214,2,0,2,"1,649",928,1940, 	1 ,B3, $	-00.00 ,3/10/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6462,9, ,B9,8857 17TH   AVENUE, ,11214,2,0,2,"1,920","2,280",1960, 	1 ,B9," $	500,000.00 ",1/23/18
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6462,26, ,B1,8846 BAY 16TH, ,11214,2,0,2,"1,646","2,982",1960, 	1 ,B1, $	-00.00 ,7/27/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6462,32, ,B9,8860 BAY 16TH   STREET, ,11214,2,0,2,"1,937","2,280",1960, 	1 ,B9," $	980,000.00 ",9/25/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6462,139, ,B9,8880 BAY 16TH STREET, ,11214,2,0,2,"1,920","2,280",1960, 	1 ,B9, $	-00.00 ,5/11/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6463,66, ,B1,8868 18TH   AVENUE, ,11214,2,0,2,"1,708","1,320",1950, 	1 ,B1," $	975,000.00 ",9/14/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6463,82, ,B1,8906 18TH   AVENUE, ,11214,2,0,2,"1,780","1,320",1950, 	1 ,B1," $	970,000.00 ",1/29/18
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6463,112, ,B1,8885 18TH AVE, ,11214,2,0,2,"1,820","1,320",1950, 	1 ,B1, $	-00.00 ,9/16/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6464,101, ,B3,317 BAY 20TH STREET, ,11214,2,0,2,"2,562","1,561",1945, 	1 ,B3," $	150,000.00 ",5/19/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6464,110, ,B3,293 BAY 20 ST, ,11214,2,0,2,"1,745","1,782",1940, 	1 ,B3," $	880,000.00 ",12/21/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6464,119, ,B1,275 BAY 20TH   STREET, ,11214,2,0,2,"1,938","1,650",1940, 	1 ,B1, $	-00.00 ,3/30/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6464,159, ,B3,8874 19TH AVENUE, ,11214,2,0,2,"1,547","1,584",1940, 	1 ,B3, $	-00.00 ,4/20/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6465,7, ,B9,242 BAY 22ND   STREET, ,11214,2,0,2,"2,127","1,652",1940, 	1 ,B9," $	882,500.00 ",12/1/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6465,18, ,B9,274 BAY 22ND STREET, ,11215,2,0,2,"3,147","1,888",1940, 	1 ,B9," $	995,000.00 ",11/27/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6465,24, ,B9,1934 20TH DRIVE, ,11214,2,0,2,"1,804","1,652",1940, 	1 ,B9, $	1.00 ,8/23/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6465,30, ,B9,1950 20TH   DRIVE, ,11214,2,0,2,"2,090","1,652",1940, 	1 ,B9, $	-00.00 ,9/28/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6465,83, ,B3,8867 19TH AVENUE, ,11214,2,0,2,"1,547","1,584",1940, 	1 ,B3, $	-00.00 ,2/5/18
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6465,86, ,B3,8861 19TH   AVENUE, ,11214,2,0,2,"1,547","1,320",1940, 	1 ,B3," $	750,000.00 ",7/5/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6465,90, ,B3,8853 19TH AVENUE, ,11214,2,0,2,"1,740","1,782",1940, 	1 ,B3, $	-00.00 ,4/14/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6465,100, ,B3,8829 19TH AVENUE, ,11214,2,0,2,"2,127","1,631",1940, 	1 ,B3," $	900,000.00 ",2/14/18
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6466,25, ,B9,8832 20TH   AVENUE, ,11214,2,0,2,"2,182","1,869",1945, 	1 ,B9," $	952,000.00 ",7/26/17
