BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15837,59, ,A1,327 BEACH 45TH STREET, ,11691,1,0,1,"2,565","1,048",1925,1,A1,"315,000",12/2/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15838,11, ,A6,334 BEACH 47TH STREET, ,11691,1,0,1,"1,902",720,1920,1,A6,"300,000",6/22/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15839,42, ,A2,355 BEACH 47 STREET, ,11691,1,0,1,"1,916",608,1920,1,A2,"210,000",2/5/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15849,21, ,A6,40-03 ROCKAWAY BEACH BLVD, ,11691,1,0,1,"2,626",618,1920,1,A6,0,4/11/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15905,7, ,A5,63-12 BEACH FRONT ROAD, ,11692,1,0,1,"3,542","3,084",2014,1,A5,"967,337",8/24/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15907,95, ,A2,3-28 BEACH 63 STREET, ,11692,1,0,1,"3,780","1,020",1950,1,A2,0,11/21/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15915,52, ,A2,67-07 BEACH CHANNEL DRIVE, ,11692,1,0,1,"3,333","1,217",1955,1,A2,0,8/31/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15915,52, ,A2,67-07 BEACH CHANNEL DRIVE, ,11692,1,0,1,"3,333","1,217",1955,1,A2,"169,371",3/30/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15954,10, ,A1,418 BEACH 38 STREET, ,11691,1,0,1,"3,000","1,650",2003,1,A1,"65,000",1/9/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15960,34, ,A2,462 BEACH 43RD STREET, ,11691,1,0,1,"1,900",518,1920,1,A2,0,5/10/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15960,42, ,A2,478 BEACH 43 STREET, ,11691,1,0,1,"1,900","1,228",1920,1,A2,"197,418",9/8/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15963,46, ,A6,44-02 NORTON AVENUE, ,11691,1,0,1,"1,275",595,1925,1,A6,"329,000",9/29/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15963,46, ,A6,44-02 NORTON AVENUE, ,11691,1,0,1,"1,275",595,1925,1,A6,"165,000",5/22/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15965,27, ,A6,448 BEACH 44TH STREET, ,11691,1,0,1,"1,735",846,1899,1,A6,"334,000",3/17/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15967,20, ,A1,425 BEACH 44TH STREET, ,11691,1,0,1,"3,411","1,960",1920,1,A1,"450,000",1/30/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15968,72, ,A6,477 BEACH 45TH ST, ,11691,1,0,1,"1,890",392,1920,1,A6,"184,500",1/4/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15968,72, ,A6,477 BEACH 45 STREET, ,11691,1,0,1,"1,890",392,1920,1,A6,500,5/26/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15968,92, ,A2,439 BEACH 45 STREET, ,11691,1,0,1,"3,781","1,224",1920,1,A2,"371,184",10/12/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15968,97, ,A9,429 BEACH 45TH, ,11691,1,0,1,"2,836",680,1920,1,A9,"110,000",6/8/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,15969,65, ,A2,423 BEACH 46 STREET, ,11691,1,0,1,"2,378",737,1940,1,A2,"345,000",2/7/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16026,12, ,A9,620 BEACH 66 STREET, ,11692,1,0,1,"2,250","1,530",1960,1,A9,"375,000",10/4/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16026,14, ,A9,626 BEACH 66TH STREET, ,11692,1,0,1,"2,250","1,530",1960,1,A9,"407,000",3/17/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16029,1, ,A2,68-10 ALMEDA AVENUE, ,11692,1,0,1,"3,800","1,119",1920,1,A2,0,3/21/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16031,8, ,A9,520 BEACH 65 STREET, ,11692,1,0,1,"2,500","2,100",1960,1,A9,"378,000",8/15/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16031,12, ,A9,528 BEACH 65 STREET, ,11692,1,0,1,"2,500","1,925",1960,1,A9,"410,000",2/26/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16031,17, ,A9,540 BEACH 65TH STREET, ,11692,1,0,1,"2,500","2,100",1960,1,A9,"308,000",10/19/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16034,69, ,A1,507 BEACH 67 STREET, ,11692,1,0,1,"3,000","1,252",1930,1,A1,"525,000",8/17/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16038,52, ,A9,441 BEACH 64TH ST, ,11692,1,0,1,"2,250","1,530",1960,1,A9,"130,000",1/18/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16038,52, ,A9,441 BEACH 64 STREET, ,11692,1,0,1,"2,250","1,530",1960,1,A9,0,6/26/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16038,57, ,A5,431 BEACH 64 STREET, ,11692,1,0,1,"2,250","1,402",1960,1,A5,"318,418",6/30/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16047,37, ,A1,69-14 ALMEDA AVENUE, ,11692,1,0,1,"2,000","2,176",1920,1,A1,"205,000",12/20/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16047,37, ,A1,69-14 ALMEDA AVE, ,11692,1,0,1,"2,000","2,176",1920,1,A1,"348,709",9/15/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16048,61, ,A2,558 BEACH 72 STREET, ,11692,1,0,1,"4,000",812,1925,1,A2,"315,000",10/18/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16049,64, ,A1,544 BEACH 72 ST, ,11692,1,0,1,"4,000","2,367",1920,1,A1,"490,000",7/28/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16050,10, ,A2,69-43 ELIZABETH AVENUE, ,11692,1,0,1,"2,800","1,172",1925,1,A2,"532,934",11/14/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16050,20, ,A1,6923 ELIZABETH AVENUE, ,11692,1,0,1,"4,000","1,383",1915,1,A1,0,3/21/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16052,52, ,A5,69-30 GOUVERNEUR AVENUE, ,11692,1,0,1,"3,000","1,800",2005,1,A5,"420,000",10/31/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16052,52, ,A5,69-30 GOUVERNEUR AVENUE, ,11692,1,0,1,"3,000","1,800",2005,1,A5,"236,668",3/13/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16052,55, ,A1,6938 GOUVERNEUR AVENUE, ,11692,1,0,1,"3,000","1,580",1930,1,A1,"211,000",8/28/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16052,55, ,A1,69-38 GOUVERNEUR AVENUE, ,11692,1,0,1,"3,000","1,580",1930,1,A1,"570,017",3/31/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16062,33, ,A6,74-22 ALMEDA AVENUE, ,11692,1,0,1,"2,000",768,1940,1,A6,"301,200",11/30/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16078,1, ,A1,348 BEACH 74 STREET, ,11692,1,0,1,"2,617","1,456",1920,1,A1,0,11/22/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16078,20, ,A1,327 BEACH 73 STREET, ,11692,1,0,1,"2,000","1,020",1920,1,A1,"221,000",9/5/2017
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16078,56, ,A1,336 BEACH 74 STREET, ,11692,1,0,1,"2,500","1,392",1920,1,A1,0,11/22/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15838,6, ,B2,320 BEACH 47 STREET, ,11691,2,0,2,"2,805","2,234",2004,1,B1,0,4/19/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15839,8, ,B9,324 BEACH 48TH STREET, ,11691,2,0,2,"1,902",796,1930,1,B9,"120,000",8/31/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15839,15, ,B9,342 BEACH 48 STREET, ,11691,2,0,2,"3,019","1,386",1955,1,B9,0,6/26/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15839,25, ,B9,366 BEACH 48TH STREET, ,11691,2,0,2,"3,067","1,386",1955,1,B9,"465,000",11/14/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15839,40, ,B2,357 BEACH 47 STREET, ,11691,2,0,2,"3,804","2,120",2003,1,B2,"365,000",12/20/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15850,2, ,B2,4117 ROCKAWAY BEACH BLVD, ,11691,2,0,2,"1,819","2,000",2006,1,B2,0,8/7/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15850,3, ,B2,41-13 ROCKAWAY BEACH BLVD, ,11691,2,0,2,"1,890","2,000",2006,1,B1,"320,000",5/30/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15850,3, ,B2,41-13 ROCKAWAY BEACH BOULE, ,11691,2,0,2,"1,890","2,000",2006,1,B1,"265,668",5/30/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15897,133, ,B2,57-19 ARVERNE BOULEVARD, ,11692,2,0,2,"2,075","2,000",2003,1,B2,"427,260",3/24/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15902,15, ,B1,188 BEACH 60TH STREET, ,11692,2,0,2,"4,241","2,052",2000,1,B2,"440,000",5/16/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15902,22, ,B1,195 BEACH 59TH, ,11692,2,0,2,"2,445","2,052",2000,1,B1,"549,678",9/15/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15902,33, ,B2,183 BEACH 59 STREET, ,11692,2,0,2,"2,500","1,950",1955,1,B2,"280,000",8/2/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15903,1, ,B2,166 BEACH 61ST STREET, ,11692,2,0,2,"2,042","1,900",1960,1,B2,0,3/21/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15904,25, ,B9,187 BEACH 61ST STREET, ,11692,2,0,2,"2,364","1,729",1955,1,B9,0,10/2/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,5, ,B2,63-06 BEACH FRONT ROAD, ,11692,2,0,2,"3,542","3,084",2014,1,B2,"997,885",4/7/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,44, ,B2,127 BEACH 62 STREET, ,11692,2,0,2,"2,368","3,306",2014,1,B2,0,9/22/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,65, ,B2,174 SEA GRASS LANE, ,11692,2,0,2,"3,210","2,515",2014,1,B2,"761,500",8/16/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,74, ,B2,199 BEACH 62ND STREET, ,11692,2,0,2,"4,132","3,306",2014,1,B2,"700,000",3/7/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,90, ,B2,153 COMPASS PL, ,11692,2,0,2,"2,246","3,018",2014,1,B2,0,6/21/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,111, ,B2,186 WHITE SANDS WAY, ,11692,2,0,2,"3,226","2,515",2011,1,B2,"815,000",12/6/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,135, ,B2,65-02 OCEAN AVENUE NORTH, ,11692,2,0,2,"2,786","2,908",2011,1,B2,0,5/11/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,169, ,B2,6507 OCEAN AVENUE NORTH, ,11692,2,0,2,"3,045","2,258",2012,1,B2,0,9/29/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,201, ,B2,65-02 OCEAN AVENUE SOUTH, ,11692,2,0,2,"3,045","2,258",2011,1,B2,0,12/8/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,207, ,B2,65-16 OCEAN AVENUE SOUTH, ,11692,2,0,2,"2,120","2,908",2011,1,B2,"799,000",5/12/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,247, ,B2,65-07 OCEAN AVENUE SOUTH, ,11692,2,0,2,"2,348","2,908",2011,1,B2,0,3/17/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,272, ,B2,65-29 SEASPRAY AVENUE, ,11692,2,0,2,"2,163","3,487",2011,1,B2,"580,402",2/16/2018
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15905,276, ,B2,65-23 SEASPRAY AVENUE, ,11692,2,0,2,"4,067","2,258",2011,1,B2,0,2/2/2018
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15913,74, ,B2,333 BEACH 66 STREET, ,11692,2,0,2,"4,000","1,904",1920,1,B2,0,9/27/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15913,86, ,B3,319 BEACH 66 STREET, ,11692,2,0,2,"2,500","1,220",1925,1,B3,"469,061",10/9/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15915,28, ,B1,3-12 BEACH 68 STREET, ,11692,2,0,2,"3,033","2,156",1950,1,B1,"490,000",1/12/2018
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15915,30, ,B3,316 BEACH 68TH ST, ,11692,2,0,2,"5,000","2,317",1920,1,B3,"171,000",7/5/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15915,35, ,B2,324 BEACH 68TH STREET, ,11692,2,0,2,"4,000","2,400",2003,1,B2,"24,000",4/17/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15916,76, ,B1,305 BEACH 68TH STREET, ,11692,2,0,2,"2,133","2,240",2003,1,B1,"530,000",11/29/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15954,9, ,B2,416 BEACH 38 STREET, ,11691,2,0,2,"3,000","1,728",1931,1,B2,"374,000",1/19/2018
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15954,12, ,B2,422 BEACH 38 STREET, ,11691,2,0,2,"3,000","1,728",1920,1,B2,0,2/9/2018
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15954,19, ,B2,436 BEACH 38 STREET, ,11691,2,0,2,"3,000","1,728",1920,1,B2,0,10/5/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15954,54, ,B2,455 BEACH 37 STREET, ,11691,2,0,2,"4,000","1,884",1920,1,B2,"416,660",3/3/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15962,63, ,B2,561 BEACH 43RD STREET, ,11691,2,0,2,"3,305","2,312",2005,1,B2,0,2/7/2018
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15962,69, ,B3,551 BEACH 43 STREET, ,11691,2,0,2,"4,852","1,500",1920,1,B3,"343,000",9/13/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15962,80, ,B2,531 BEACH 43 STREET, ,11691,2,0,2,"3,952","2,464",2004,1,B2,"377,000",2/14/2018
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15962,80, ,B2,531 BEACH 43 STREET, ,11691,2,0,2,"3,952","2,464",2004,1,B2,"273,000",3/21/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15965,9, ,B2,412 BEACH 44 STREET, ,11691,2,0,2,"2,602","1,254",1899,1,B2,"347,500",8/29/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15969,30, ,B2,466 BEACH 47 STREET, ,11691,2,0,2,"2,253","1,650",2003,1,B2,"320,000",12/13/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15972,15, ,B9,438 BEACH 48 STREET, ,11691,2,0,2,"2,473","1,914",1960,1,B9,"450,000",7/11/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15972,37, ,B9,451 BEACH 47TH STREET, ,11691,2,0,2,"2,764","1,869",1960,1,B9,"465,000",8/31/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15972,37, ,B9,451 BEACH 47 STREET, ,11691,2,0,2,"2,764","1,869",1960,1,B9,"155,000",3/7/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15972,55, ,B9,415 BEACH 47TH STREET, ,11691,2,0,2,"2,703","1,764",1960,1,B9,0,4/14/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16005,32, ,B2,6213 DECOSTA AVENUE, ,11692,2,0,2,"3,179","2,372",2017,1,B2,"505,986",12/29/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16005,33, ,B2,62-15 DECOSTA AVE, ,11692,2,0,2,"3,179","2,281",2017,1,B2,"505,986",12/19/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16007,43, ,B2,62-35 ALMEDA AVENUE, ,11692,2,0,2,"3,317","2,254",2010,1,B2,"290,000",2/14/2018
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16008,13, ,B2,6216 ELIZABETH  ROAD, ,11692,2,0,2,"3,179","2,000",2004,1,B2,"310,400",6/26/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16008,34, ,B2,62-21 BURCHELL ROAD, ,11692,2,0,2,"3,054","2,000",2003,1,B2,"280,000",11/21/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16023,2, ,B2,604 BEACH 64 STREET, ,11692,2,0,2,"3,400","2,068",1996,1,B2,0,4/21/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16024,23, ,B2,6-40 BEACH 65 STREET, ,11692,2,0,2,"3,400","2,068",1994,1,B2,"500,000",11/3/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16025,28, ,B1,65-02 DE COSTA AVENUE, ,11692,2,0,2,"4,319","2,400",2002,1,B1,500,8/28/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16025,29, ,B1,65-06 DE COSTA AVENUE, ,11692,2,0,2,"4,318","2,000",2002,1,B1,"560,000",2/13/2018
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16025,32, ,B1,65-18 DE COSTA AVE, ,11692,2,0,2,"4,318","2,000",2002,1,B1,"572,500",3/16/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16028,24, ,B2,6-48 BEACH 68 STREET, ,11692,2,0,2,"3,300","1,980",2004,1,B2,0,9/6/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16028,29, ,B2,660 BEACH 68TH STREET, ,11692,2,0,2,"4,000","2,500",2004,1,B2,"510,000",12/5/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16029,12, ,B9,622 BEACH 69TH STREET, ,11692,2,0,2,"2,725","1,848",1960,1,B9,"415,000",5/12/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16029,14, ,B9,628 BEACH 69TH  STREET, ,11692,2,0,2,"2,725","1,344",1960,1,B9,"282,000",9/28/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16029,21, ,B9,640 BEACH 69TH STREET, ,11692,2,0,2,"2,725","1,344",1960,1,B9,"624,811",12/20/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16029,48, ,B2,6-49 BEACH 68 STREET, ,11692,2,0,2,"3,000","2,040",2003,1,B2,0,2/20/2018
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16029,48, ,B2,6-49 BEACH 68 STREET, ,11692,2,0,2,"3,000","2,040",2003,1,B2,"347,550",7/27/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16029,50, ,B2,647 BEACH 68 STREET, ,11692,2,0,2,"3,000","2,040",2003,1,B2,"300,000",5/17/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16029,70, ,B9,605 BEACH 68TH STREET, ,11692,2,0,2,"2,750","1,828",1960,1,B9,"475,000",12/18/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16029,70, ,B9,605 BEACH 68 STREET, ,11692,2,0,2,"2,750","1,828",1960,1,B9,"297,609",5/25/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16029,153, ,B9,633 BEACH 68 STREET, ,11692,2,0,2,"2,750","1,428",1960,1,B9,"318,000",9/13/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16030,10, ,B9,520 BEACH 64TH STREET, ,11692,2,0,2,"3,450","1,974",1960,1,B9,0,5/15/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16030,18, ,B9,503 BEACH 64 STREET, ,11692,2,0,2,"3,450","1,974",1960,1,B9,0,4/29/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16030,39, ,B2,559 BEACH 63, ,11692,2,0,2,"3,164","1,978",2002,1,B2,"449,000",5/12/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16032,21, ,B2,544 BEACH 66 STREET, ,11692,2,0,2,"4,000","2,081",1950,1,B2,"490,000",8/30/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16032,47, ,B9,5-35 BEACH 65TH STREET, ,11692,2,0,2,"2,950","2,160",1955,1,B9,"470,000",12/5/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16033,21, ,B3,544 BEACH 67TH STREET, ,11692,2,0,2,"4,000","2,576",1975,1,B3,"251,435",7/12/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16033,73, ,B2,66-10 THURSBY AVENUE, ,11692,2,0,2,"2,500","1,530",1930,1,B2,"420,000",12/15/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16033,73, ,B2,66-10 THURSBY AVENUE, ,11692,2,0,2,"2,500","1,530",1930,1,B2,"130,000",5/3/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16034,46, ,B2,553 BEACH 67TH STREET, ,11692,2,0,2,"3,000","1,890",2004,1,B2,0,5/16/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16037,53, ,B9,437 BEACH 63RD STREET, ,11692,2,0,2,"2,550","1,932",1940,1,B9,0,8/18/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16038,32, ,B3,4-50 BEACH 65TH STREET, ,11692,2,0,2,"3,100","1,113",1910,1,B3,"335,000",5/23/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16040,70, ,B2,403 BEACH 66 STREET, ,11692,2,0,2,"3,180","2,014",2006,1,B2,"217,000",11/7/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16041,45, ,B2,455 BEACH 67 STREET, ,11692,2,0,2,"3,200","2,850",1920,1,B2,"431,600",7/28/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16042,48, ,B1,4-49 BEACH 68 STREET, ,11692,2,0,2,"4,000","4,455",1930,1,B1,"410,000",12/11/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16045,63, ,B9,69-50 DE COSTA, ,11692,2,0,2,"2,717","1,512",1950,1,B9,"160,000",3/30/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16046,17, ,B9,69-43 DECOSTA AVENUE, ,11692,2,0,2,"2,717","2,378",1940,1,B9,"478,400",5/31/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16047,39, ,B3,69-18 ALMEDA AVENUE, ,11692,2,0,2,"2,000","2,048",1920,1,B3,"482,500",9/1/2017
4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,16047,50, ,B2,69-40 ALMEDA AVENUE, ,11692,2,0,2,"2,000","1,720",1920,1,B2,"458,000",3/2/2017
