Misdemeanor Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,395,346,319,315,254,307,287,291,302,276,429,437,416,367,373,372,295,273
,CRIMINAL TRESPASS,50,43,55,61,75,71,104,61,72,82,89,90,108,105,145,162,164,141
,UNAUTHORIZED USE OF A VEHICLE           ,2,6,1,4,1,3,1,2,3,3,0,1,2,3,4,3,0,4
,OFFENSES AGAINST THE PERSON (7)      ,4,4,6,7,6,3,2,8,10,3,4,5,6,9,23,25,16,26
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),60,72,71,76,95,129,102,116,113,123,86,98,120,108,98,68,85,57
,ADMINISTRATIVE CODE (6)            ,3,1,1,1,3,6,5,5,4,2,3,0,0,1,2,2,4,3
,FRAUDS (3)                    ,77,122,142,349,348,318,440,453,567,487,519,329,271,263,255,182,202,135
,AGGRAVATED HARASSMENT 2               ,230,248,231,165,289,154,163,192,174,192,191,169,145,131,84,109,106,110
,OTHER MISDEMEANORS (8),338,419,206,171,189,150,192,237,285,357,345,317,335,459,556,628,471,332
,TOTAL MISDEMEANOR OFFENSES,2855,2859,2504,2608,2655,2597,2645,2849,3143,3236,3697,3320,3375,3437,3401,3339,3140,3042
6,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,12,25,13,18,27,16,46,72,49,86,85,44,48,30,20,16,11,7
,MISDEMEANOR SEX CRIMES (4),37,64,34,30,36,35,44,16,28,33,24,34,40,39,31,43,52,45
,MISDEMEANOR DANGEROUS DRUGS  (1),2871,2517,2560,1469,1003,846,902,1200,1037,1050,1021,1220,618,543,622,330,253,477
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,17,22,15,11,15,13,23,43,25,18,23,21,35,42,50,43,26,25
,PETIT LARCENY                         ,1632,1561,1436,1164,1277,1278,1397,1501,1560,1525,1453,1348,1451,1555,1290,1442,1243,1214
,ASSAULT 3 AND RELATED OFFENSES        ,412,379,285,263,298,288,290,311,250,295,286,334,420,353,338,374,363,362
,INTOXICATED & IMPAIRED DRIVING              ,41,31,42,28,50,63,82,116,145,257,156,48,115,189,77,28,27,17
,VEHICLE AND TRAFFIC LAWS              ,66,58,56,36,34,40,43,31,23,29,26,42,46,43,31,26,31,42
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,384,342,340,308,228,195,293,304,338,228,272,211,255,212,216,227,234,280
,CRIMINAL TRESPASS,30,69,50,46,41,56,56,70,81,39,82,114,103,113,97,91,96,101
,UNAUTHORIZED USE OF A VEHICLE           ,5,11,5,5,4,5,7,9,9,3,2,6,4,2,7,8,9,8
,OFFENSES AGAINST THE PERSON (7)      ,6,10,5,5,2,4,6,3,7,6,4,7,8,15,12,9,5,9
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),73,58,43,55,63,41,66,92,72,49,73,90,100,106,105,69,67,71
,ADMINISTRATIVE CODE (6)            ,6,8,4,4,3,3,3,5,6,6,0,3,0,2,2,0,2,1
,FRAUDS (3)                    ,134,140,60,77,58,56,66,59,56,47,91,123,114,74,56,35,25,72
,AGGRAVATED HARASSMENT 2               ,257,272,252,245,250,197,210,213,168,136,168,168,148,149,106,111,111,139
,OTHER MISDEMEANORS (8),864,946,746,688,728,571,479,560,575,464,599,472,561,568,658,545,378,386
,TOTAL MISDEMEANOR OFFENSES,6847,6513,5946,4452,4117,3707,4013,4605,4429,4271,4365,4285,4066,4035,3718,3397,2933,3256
7,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,2,6,10,14,29,35,22,23,27,43,29,27,43,24,12,12,9,10
,MISDEMEANOR SEX CRIMES (4),22,32,25,28,33,29,28,32,32,40,21,23,21,26,19,46,52,55
,MISDEMEANOR DANGEROUS DRUGS  (1),428,426,427,510,503,488,483,530,529,740,836,752,589,406,326,423,498,477
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,18,33,38,72,124,161,87,94,61,71,107,93,99,79,62,65,40,41
,PETIT LARCENY                         ,685,582,609,601,546,636,605,629,791,649,738,529,633,584,572,570,653,600
,ASSAULT 3 AND RELATED OFFENSES        ,336,340,343,371,348,362,374,468,410,383,374,389,424,431,385,380,469,490
,INTOXICATED & IMPAIRED DRIVING              ,24,30,29,38,32,33,39,119,79,65,83,95,74,70,60,44,24,28
,VEHICLE AND TRAFFIC LAWS              ,45,32,49,79,45,54,30,25,36,35,23,28,25,39,35,25,33,49
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,373,250,324,345,312,373,382,449,579,470,437,385,376,366,441,442,423,397
,CRIMINAL TRESPASS,60,70,68,161,198,201,137,195,137,140,165,209,224,233,250,269,197,215
,UNAUTHORIZED USE OF A VEHICLE           ,4,5,6,9,10,14,4,5,3,4,2,3,4,1,2,7,3,3
,OFFENSES AGAINST THE PERSON (7)      ,11,5,6,11,22,12,7,11,10,4,8,10,16,14,9,13,6,25
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),31,70,86,80,80,110,82,97,101,89,112,106,123,115,113,92,131,113
,ADMINISTRATIVE CODE (6)            ,7,2,1,2,1,3,5,4,6,2,5,4,6,5,1,3,0,5
,FRAUDS (3)                    ,24,24,27,58,50,58,28,24,28,33,32,36,31,22,35,45,22,30
,AGGRAVATED HARASSMENT 2               ,242,267,186,194,205,199,209,201,227,213,216,201,214,203,135,120,180,205
,OTHER MISDEMEANORS (8),107,123,78,157,160,127,68,151,105,165,250,321,368,352,284,376,274,266
,TOTAL MISDEMEANOR OFFENSES,2419,2297,2312,2730,2698,2895,2590,3057,3161,3146,3438,3211,3270,2970,2741,2932,3014,3009
9,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,8,15,16,65,85,83,133,77,67,51,22,47,56,32,34,26,14,12
,MISDEMEANOR SEX CRIMES (4),68,36,36,42,38,58,41,34,47,44,36,33,30,31,35,46,69,55
,MISDEMEANOR DANGEROUS DRUGS  (1),1391,942,860,1096,753,735,502,526,614,469,682,791,741,548,493,553,498,399
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,37,44,38,60,67,68,67,128,88,65,59,55,55,52,39,52,49,44
,PETIT LARCENY                         ,1438,1296,1455,1501,1545,1396,1515,1545,1827,1802,1740,1610,1454,1607,1337,1281,1202,1201
,ASSAULT 3 AND RELATED OFFENSES        ,549,490,535,488,525,516,493,485,475,457,523,469,503,473,477,436,477,434
,INTOXICATED & IMPAIRED DRIVING              ,23,19,18,14,36,19,40,35,33,43,95,39,36,31,28,22,23,17
,VEHICLE AND TRAFFIC LAWS              ,79,51,72,84,83,52,56,26,36,47,35,32,42,46,31,41,39,38
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,433,492,471,457,499,494,439,512,593,586,475,457,471,427,394,408,368,337
,CRIMINAL TRESPASS,158,121,91,109,124,170,129,164,206,180,195,237,284,219,220,246,233,150
,UNAUTHORIZED USE OF A VEHICLE           ,2,10,7,10,0,4,6,3,9,4,10,1,8,2,11,3,6,4
,OFFENSES AGAINST THE PERSON (7)      ,11,9,4,7,30,13,14,12,16,8,18,13,15,12,11,17,11,13
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),110,118,89,87,98,81,106,103,89,104,102,104,119,109,101,110,119,108
,ADMINISTRATIVE CODE (6)            ,8,4,3,10,8,10,5,3,8,12,4,4,3,3,3,1,2,0
,FRAUDS (3)                    ,87,80,58,39,50,27,39,46,57,29,52,59,58,54,54,47,65,43
,AGGRAVATED HARASSMENT 2               ,359,405,358,331,266,308,280,309,289,255,245,227,308,237,156,193,203,217
,OTHER MISDEMEANORS (8),558,360,334,403,445,205,161,220,222,254,351,403,404,407,539,483,415,361
,TOTAL MISDEMEANOR OFFENSES,5319,4492,4445,4803,4652,4239,4026,4228,4676,4410,4644,4581,4587,4290,3963,3965,3793,3433
10,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,6,13,10,19,17,15,17,6,11,9,32,48,15,24,4,9,6,5
,MISDEMEANOR SEX CRIMES (4),21,22,18,27,22,30,27,36,30,35,27,21,25,33,16,33,52,49
,MISDEMEANOR DANGEROUS DRUGS  (1),767,465,450,651,394,500,494,314,337,382,354,447,412,364,375,349,297,196
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,20,15,18,34,26,27,43,44,48,23,14,28,23,21,15,20,23,26
,PETIT LARCENY                         ,1094,1081,1186,936,863,882,975,807,876,811,838,955,984,995,863,729,709,663
,ASSAULT 3 AND RELATED OFFENSES        ,397,370,373,423,401,421,475,427,422,336,362,299,338,326,306,307,348,286
,INTOXICATED & IMPAIRED DRIVING              ,61,58,98,154,110,133,159,183,225,143,97,63,43,43,40,28,46,38
,VEHICLE AND TRAFFIC LAWS              ,103,69,61,50,53,44,40,35,49,44,42,45,39,38,40,48,28,50
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,307,301,290,266,264,317,291,279,301,218,285,260,260,259,233,245,241,223
,CRIMINAL TRESPASS,136,113,94,129,97,160,119,71,66,106,99,154,176,207,154,69,194,144
,UNAUTHORIZED USE OF A VEHICLE           ,28,24,36,6,22,9,7,6,10,11,6,12,7,9,25,17,10,12
,OFFENSES AGAINST THE PERSON (7)      ,6,7,6,6,13,10,3,13,12,9,6,9,8,10,2,5,8,8
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),54,58,32,48,76,63,78,67,78,66,62,51,51,86,73,63,81,59
,ADMINISTRATIVE CODE (6)            ,2,0,5,5,5,7,2,5,3,3,6,3,2,5,3,3,2,2
,FRAUDS (3)                    ,47,54,40,45,42,53,57,32,49,33,37,37,62,57,34,34,38,36
,AGGRAVATED HARASSMENT 2               ,242,257,250,248,246,215,232,225,262,232,224,201,253,203,151,155,191,189
,OTHER MISDEMEANORS (8),220,145,91,128,158,206,131,140,190,172,179,272,248,397,343,402,374,341
,TOTAL MISDEMEANOR OFFENSES,3511,3052,3058,3175,2809,3092,3150,2690,2969,2633,2670,2905,2946,3077,2677,2516,2648,2327
13,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,15,19,11,28,23,35,47,59,55,67,80,133,127,106,48,39,14,9
,MISDEMEANOR SEX CRIMES (4),75,60,59,57,47,51,83,115,104,115,81,81,81,96,93,103,122,147
,MISDEMEANOR DANGEROUS DRUGS  (1),465,356,390,486,271,187,174,276,209,262,460,666,356,458,443,413,399,287
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,30,22,14,29,18,26,47,65,73,50,68,87,75,93,140,130,142,95
,PETIT LARCENY                         ,2151,2319,2350,1918,1916,1852,1820,1975,1966,2039,1860,1797,1915,2094,1874,1917,1892,1822
,ASSAULT 3 AND RELATED OFFENSES        ,585,523,505,512,502,519,507,535,500,474,446,494,486,475,487,487,398,477
,INTOXICATED & IMPAIRED DRIVING              ,31,29,25,28,28,45,53,72,57,57,57,56,78,74,35,28,35,28
,VEHICLE AND TRAFFIC LAWS              ,123,93,75,78,92,78,65,75,61,63,58,43,62,88,74,76,69,93
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,469,419,400,450,372,421,427,422,375,321,402,399,325,310,326,311,274,388
,CRIMINAL TRESPASS,71,63,52,65,66,78,58,77,56,75,116,149,137,135,142,140,127,92
,UNAUTHORIZED USE OF A VEHICLE           ,13,8,10,11,5,8,6,14,5,7,6,9,6,4,4,7,6,3
,OFFENSES AGAINST THE PERSON (7)      ,19,11,9,15,12,11,8,21,7,5,9,9,5,15,39,26,25,23
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),73,68,60,56,86,92,88,98,103,111,76,96,117,96,70,99,99,73
,ADMINISTRATIVE CODE (6)            ,9,5,10,2,2,4,3,2,8,3,7,4,3,1,2,1,2,4
,FRAUDS (3)                    ,168,255,96,187,281,129,59,76,78,92,80,209,198,96,134,136,78,87
,AGGRAVATED HARASSMENT 2               ,612,584,505,449,476,469,400,393,384,386,382,347,301,328,258,230,260,267
,OTHER MISDEMEANORS (8),1147,783,637,692,788,516,283,565,699,765,1042,1267,1513,1332,1113,1266,1110,1204
,TOTAL MISDEMEANOR OFFENSES,6056,5617,5208,5063,4985,4521,4128,4840,4740,4892,5230,5846,5785,5801,5282,5409,5052,5099
14,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,40,38,39,35,26,19,31,29,35,37,44,34,37,59,48,25,32,30
,MISDEMEANOR SEX CRIMES (4),159,169,141,103,141,122,191,174,226,198,196,161,125,155,133,191,179,185
,MISDEMEANOR DANGEROUS DRUGS  (1),1678,1218,1829,927,637,481,739,668,421,512,629,743,857,765,726,571,743,675
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,76,92,93,85,97,62,114,138,143,163,185,127,166,192,170,112,163,149
,PETIT LARCENY                         ,5140,4892,4742,4192,4212,4051,4231,4446,4434,4859,4849,4717,4224,4551,4070,3842,3320,3298
,ASSAULT 3 AND RELATED OFFENSES        ,824,827,719,621,671,681,685,704,619,594,668,586,674,651,660,627,655,699
,INTOXICATED & IMPAIRED DRIVING              ,45,45,42,46,50,66,88,112,104,103,108,90,109,61,54,41,39,34
,VEHICLE AND TRAFFIC LAWS              ,135,120,98,73,103,85,82,70,74,74,62,70,68,54,94,77,72,61
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,458,420,344,405,287,271,299,325,232,288,288,256,219,201,234,218,226,277
,CRIMINAL TRESPASS,151,113,232,390,256,150,162,299,435,566,420,361,351,340,349,212,213,312
,UNAUTHORIZED USE OF A VEHICLE           ,27,28,18,9,9,6,4,5,4,3,5,4,8,6,9,4,6,8
,OFFENSES AGAINST THE PERSON (7)      ,29,17,25,9,13,19,25,19,24,20,27,16,16,17,23,10,27,14
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),290,276,240,263,237,213,237,275,237,257,216,152,204,218,203,186,205,161
,ADMINISTRATIVE CODE (6)            ,10,8,7,3,2,4,4,3,5,4,0,4,2,1,0,2,7,8
,FRAUDS (3)                    ,313,274,211,160,210,172,203,163,108,124,147,217,148,146,157,138,101,91
,AGGRAVATED HARASSMENT 2               ,572,625,522,475,515,519,410,416,378,368,318,293,324,267,201,213,242,268
,OTHER MISDEMEANORS (8),2774,2307,2114,2565,2374,1694,2238,2938,2974,2469,2452,2205,2324,2799,3490,3085,3252,2867
,TOTAL MISDEMEANOR OFFENSES,12721,11469,11416,10361,9840,8615,9743,10784,10453,10639,10614,10036,9856,10483,10621,9554,9482,9137
17,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,2,2,2,9,13,14,7,1,4,7,11,37,24,3,4,5,3,5
,MISDEMEANOR SEX CRIMES (4),47,47,28,31,33,27,39,41,48,46,49,47,29,42,48,62,54,68
,MISDEMEANOR DANGEROUS DRUGS  (1),67,40,105,131,197,114,66,53,45,37,70,110,151,145,92,82,145,138
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,9,7,8,13,8,5,13,16,13,12,14,14,15,12,22,19,23,13
,PETIT LARCENY                         ,1154,1193,897,754,644,681,713,697,724,686,629,645,745,823,657,597,696,926
,ASSAULT 3 AND RELATED OFFENSES        ,274,271,273,284,261,301,238,266,271,254,241,258,303,236,262,207,234,290
,INTOXICATED & IMPAIRED DRIVING              ,23,35,10,54,67,82,101,156,110,64,43,36,45,39,57,24,21,20
,VEHICLE AND TRAFFIC LAWS              ,113,92,86,82,65,57,62,56,50,45,63,68,50,61,53,57,67,67
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,270,234,130,160,138,128,151,170,128,138,177,135,159,110,107,153,228,205
,CRIMINAL TRESPASS,47,38,42,31,40,40,35,46,31,61,50,43,57,74,67,33,61,63
,UNAUTHORIZED USE OF A VEHICLE           ,6,12,14,8,2,6,5,6,7,5,5,6,5,2,5,2,6,6
,OFFENSES AGAINST THE PERSON (7)      ,3,3,2,7,9,3,4,7,5,9,5,6,17,22,22,2,4,11
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),50,44,28,61,53,39,61,59,55,46,32,36,49,40,44,32,34,29
,ADMINISTRATIVE CODE (6)            ,4,6,4,4,2,3,2,3,1,1,3,2,2,2,1,3,3,0
,FRAUDS (3)                    ,96,137,72,77,51,45,39,39,37,33,42,55,41,33,53,53,29,29
,AGGRAVATED HARASSMENT 2               ,426,497,391,288,294,317,280,247,261,252,208,188,189,185,100,99,123,109
,OTHER MISDEMEANORS (8),230,164,231,174,182,168,76,155,110,150,152,205,163,246,268,211,216,238
,TOTAL MISDEMEANOR OFFENSES,2821,2822,2323,2168,2059,2030,1892,2018,1900,1846,1794,1891,2044,2075,1862,1641,1947,2217
18,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,18,15,9,13,7,12,19,23,23,36,15,13,28,28,13,26,18,10
,MISDEMEANOR SEX CRIMES (4),116,70,82,73,85,53,67,69,49,52,69,58,75,78,66,77,96,96
,MISDEMEANOR DANGEROUS DRUGS  (1),1025,616,462,322,265,186,331,417,330,601,747,796,532,463,318,389,517,565
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,29,33,35,24,26,21,28,29,60,49,68,46,48,45,38,19,38,37
,PETIT LARCENY                         ,2561,2605,2098,1811,1771,1786,1762,1768,1835,1919,1958,1947,2126,2071,2073,1961,1965,2079
,ASSAULT 3 AND RELATED OFFENSES        ,661,645,593,471,521,505,499,510,573,452,527,522,575,619,593,600,632,601
,INTOXICATED & IMPAIRED DRIVING              ,39,33,28,34,34,47,66,62,70,75,64,62,58,55,36,28,32,28
,VEHICLE AND TRAFFIC LAWS              ,182,134,118,70,89,83,84,67,71,57,74,77,90,96,95,93,69,89
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,383,377,296,249,234,222,227,289,277,226,225,227,234,212,265,249,252,311
,CRIMINAL TRESPASS,98,77,61,123,82,96,57,50,57,87,81,86,70,120,207,161,141,119
,UNAUTHORIZED USE OF A VEHICLE           ,20,23,16,5,14,18,13,5,15,11,7,9,9,8,14,9,11,15
,OFFENSES AGAINST THE PERSON (7)      ,9,9,6,10,16,13,22,11,12,13,14,16,14,24,28,25,18,38
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),114,84,92,113,106,100,116,119,110,137,133,120,111,128,149,127,98,81
,ADMINISTRATIVE CODE (6)            ,4,3,8,7,2,7,4,4,3,10,8,15,5,2,9,2,2,10
,FRAUDS (3)                    ,251,397,343,284,367,221,239,144,114,147,162,144,94,120,105,103,87,87
,AGGRAVATED HARASSMENT 2               ,732,752,643,534,537,505,432,517,461,450,412,366,397,397,219,265,295,317
,OTHER MISDEMEANORS (8),989,1054,1060,769,638,521,621,553,525,550,553,505,521,539,935,757,911,865
,TOTAL MISDEMEANOR OFFENSES,7231,6927,5950,4912,4794,4396,4587,4637,4585,4872,5117,5009,4987,5005,5163,4891,5182,5348
19,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,17,10,23,39,67,61,62,67,20,17,14,52,60,25,23,20,15,7
,MISDEMEANOR SEX CRIMES (4),77,67,50,51,44,50,56,51,64,57,54,79,56,37,79,66,72,92
,MISDEMEANOR DANGEROUS DRUGS  (1),153,73,60,58,78,80,101,105,125,85,75,117,135,105,50,31,31,80
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,12,21,14,9,15,21,19,32,22,22,23,28,12,23,12,16,15,15
,PETIT LARCENY                         ,2117,2383,1969,1910,2119,1964,1975,1895,1715,1571,1683,1569,1669,1637,1566,1586,1678,1832
,ASSAULT 3 AND RELATED OFFENSES        ,542,532,395,361,425,418,418,366,338,328,377,331,379,321,355,295,331,371
,INTOXICATED & IMPAIRED DRIVING              ,52,37,58,78,94,86,94,237,272,96,72,109,156,177,196,107,54,51
,VEHICLE AND TRAFFIC LAWS              ,150,128,104,70,74,71,77,75,91,69,64,83,66,100,67,59,101,110
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,557,666,435,372,430,359,387,462,414,387,381,381,332,266,318,348,373,389
,CRIMINAL TRESPASS,66,54,48,67,80,71,63,50,60,53,71,85,81,41,71,46,68,58
,UNAUTHORIZED USE OF A VEHICLE           ,15,12,21,12,9,6,13,10,10,7,3,9,14,6,6,6,6,16
,OFFENSES AGAINST THE PERSON (7)      ,18,13,10,8,4,7,17,19,11,7,7,15,7,7,15,8,9,13
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),81,61,73,70,59,99,110,100,84,63,53,74,77,68,53,63,54,46
,ADMINISTRATIVE CODE (6)            ,11,9,7,8,7,11,11,3,6,5,4,4,4,1,1,6,4,3
,FRAUDS (3)                    ,305,407,179,272,132,133,106,89,134,115,121,121,118,108,84,59,90,50
,AGGRAVATED HARASSMENT 2               ,782,836,743,663,559,572,563,472,380,363,371,345,330,329,210,182,196,230
,OTHER MISDEMEANORS (8),357,440,190,252,256,246,222,192,125,191,244,269,325,276,214,354,487,469
,TOTAL MISDEMEANOR OFFENSES,5312,5749,4379,4300,4452,4255,4294,4225,3871,3436,3617,3671,3821,3527,3320,3252,3584,3832
20,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,9,15,8,10,5,15,10,18,22,30,41,42,37,27,13,11,6,5
,MISDEMEANOR SEX CRIMES (4),42,31,34,33,24,24,48,36,30,27,29,34,42,43,38,36,64,79
,MISDEMEANOR DANGEROUS DRUGS  (1),289,283,338,229,139,152,109,184,86,152,106,158,99,86,55,67,68,178
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,12,21,13,11,8,39,21,20,19,29,33,39,23,24,22,17,17,11
,PETIT LARCENY                         ,1291,1301,1246,1095,993,1155,962,896,952,1013,1041,904,1008,1182,1221,1171,1218,1406
,ASSAULT 3 AND RELATED OFFENSES        ,372,335,289,293,298,400,303,328,325,322,316,286,263,244,261,192,189,167
,INTOXICATED & IMPAIRED DRIVING              ,18,23,18,23,40,85,128,113,90,55,37,30,63,29,27,6,20,16
,VEHICLE AND TRAFFIC LAWS              ,52,54,42,38,35,46,41,40,47,40,27,24,36,36,21,28,37,31
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,315,271,230,245,229,263,219,230,250,288,303,240,276,214,228,288,328,332
,CRIMINAL TRESPASS,58,87,61,108,76,81,67,83,77,114,85,93,89,83,60,67,52,39
,UNAUTHORIZED USE OF A VEHICLE           ,8,28,9,7,14,7,4,14,11,7,6,5,8,10,5,6,12,14
,OFFENSES AGAINST THE PERSON (7)      ,5,10,16,7,13,13,9,10,6,12,15,11,4,9,9,4,8,14
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),58,41,32,28,43,71,52,64,64,69,70,78,86,72,77,53,62,57
,ADMINISTRATIVE CODE (6)            ,5,8,4,1,9,7,3,1,2,1,4,1,0,3,1,0,3,2
,FRAUDS (3)                    ,170,89,35,46,49,57,71,70,112,90,62,86,131,118,95,158,109,120
,AGGRAVATED HARASSMENT 2               ,404,401,355,277,282,256,239,226,251,236,241,241,219,231,124,127,112,101
,OTHER MISDEMEANORS (8),139,148,100,96,82,111,114,161,103,143,172,200,209,225,290,236,307,374
,TOTAL MISDEMEANOR OFFENSES,3247,3146,2830,2547,2339,2782,2400,2494,2447,2628,2588,2472,2593,2636,2547,2467,2612,2946
22,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,2,1,0,0,0,1,3,1,0,0,4,4,1,2,0,2,1,0
,MISDEMEANOR SEX CRIMES (4),7,9,9,8,13,7,5,3,4,4,7,5,7,13,6,5,9,10
,MISDEMEANOR DANGEROUS DRUGS  (1),567,311,254,112,80,134,103,126,126,108,181,140,133,96,60,103,27,11
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,3,1,3,0,3,4,5,1,2,0,6,8,8,9,7,4,6,8
,PETIT LARCENY                         ,108,119,110,75,78,88,47,72,76,53,105,153,121,110,83,90,69,57
,ASSAULT 3 AND RELATED OFFENSES        ,25,20,27,32,30,47,19,20,25,23,21,28,31,30,33,20,32,24
,INTOXICATED & IMPAIRED DRIVING              ,7,1,3,7,5,1,3,1,3,7,3,6,0,1,3,3,1,2
,VEHICLE AND TRAFFIC LAWS              ,11,4,4,3,3,6,2,5,2,5,4,0,8,3,4,6,1,1
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,24,30,13,10,22,16,11,14,34,23,8,8,15,10,20,31,27,16
