OBJECTID,the_geom,Name,Stacked,AnnoLine1,AnnoLine2,AnnoLine3,AnnoAngle,Borough
88,POINT (-73.98357724689187 40.687241380657376),Boerum Hill,2,Boerum,Hill,,0,Brooklyn
89,POINT (-73.9548986707772 40.65842001746986),Prospect Lefferts Gardens,3,Prospect,Lefferts,Gardens,0,Brooklyn
90,POINT (-73.91306831787404 40.6784025547954),Ocean Hill,2,Ocean,Hill,,0,Brooklyn
91,POINT (-73.86797598081343 40.678569957274824),City Line,2,City,Line,,0,Brooklyn
92,POINT (-73.89855633630324 40.615149550453125),Bergen Beach,2,Bergen,Beach,,0,Brooklyn
93,POINT (-73.95759523489846 40.62559589869847),Midwood,1,Midwood,,,0,Brooklyn
94,POINT (-73.96261316716055 40.64700860318523),Prospect Park South,2,Prospect,Park South,,0,Brooklyn
95,POINT (-73.91607483951331 40.623845244784235),Georgetown,1,Georgetown,,,0,Brooklyn
96,POINT (-73.86998779106547 40.65713927658277),Spring Creek,2,Spring,Creek,,0,Brooklyn
97,POINT (-73.93885815269203 40.70849241041552),East Williamsburg,2,East,Williamsburg,,0,Brooklyn
98,POINT (-73.95880857587589 40.714822906532056),North Side,1,North Side,,,0,Brooklyn
99,POINT (-73.95800095153338 40.710861472650684),South Side,1,South Side,,,0,Brooklyn
100,POINT (-73.97164435527614 40.698790872180545),Navy Yard,2,Navy,Yard,,0,Brooklyn
101,POINT (-73.96836678035548 40.61305976667946),Ocean Parkway,2,Ocean,Parkway,,0,Brooklyn
102,POINT (-74.0319791453799 40.6147681269423),Fort Hamilton,2,Fort,Hamilton,,0,Brooklyn
103,POINT (-73.99427936255985 40.715618422314364),Chinatown,1,Chinatown,,,0,Manhattan
104,POINT (-73.93690027985242 40.85190252555309),Washington Heights,2,Washington,Heights,,0,Manhattan
105,POINT (-73.92121042203905 40.86768396449919),Inwood,1,Inwood,,,0,Manhattan
106,POINT (-73.94968791883373 40.82360428481197),Hamilton Heights,2,Hamilton,Heights,,0,Manhattan
107,POINT (-73.95738539351888 40.81693442949784),Manhattanville,2,Manhattanville,,,0,Manhattan
108,POINT (-73.94321112603912 40.81597606742418),Central Harlem,2,Central,Harlem,,0,Manhattan
109,POINT (-73.94418223148531 40.79224946663037),East Harlem,2,East,Harlem,,0,Manhattan
110,POINT (-73.96050763135007 40.77563857330185),Upper East Side,3,Upper,East,Side,0,Manhattan
111,POINT (-73.94711784471833 40.77592984988492),Yorkville,2,York-,ville,,0,Manhattan
112,POINT (-73.95885968813766 40.76811265828737),Lenox Hill,2,Lenox,Hill,,0,Manhattan
113,POINT (-73.9494705736962 40.762403730702246),Roosevelt Island,1,Roosevelt Island,,,56,Manhattan
114,POINT (-73.9770592363061 40.7876579985349),Upper West Side,3,Upper,West,Side,0,Manhattan
115,POINT (-73.9853377700127 40.773528889421705),Lincoln Square,2,Lincoln,Square,,0,Manhattan
116,POINT (-73.99640768221386 40.758333686906404),Clinton,1,Clinton,,,0,Manhattan
117,POINT (-73.98166882730311 40.75469110270627),Midtown,1,Midtown,,,0,Manhattan
118,POINT (-73.97833207924134 40.74830307725222),Murray Hill,2,Murray,Hill,,0,Manhattan
119,POINT (-74.0031163347282 40.74403470674802),Chelsea,1,Chelsea,,,0,Manhattan
120,POINT (-73.99991402945909 40.72693288536132),Greenwich Village,2,Greenwich,Village,,0,Manhattan
121,POINT (-73.98222616506425 40.72784677727029),East Village,2,East,Village,,0,Manhattan
122,POINT (-73.98089031999298 40.71780674892769),Lower East Side,3,Lower,East,Side,0,Manhattan
123,POINT (-74.01068328559094 40.72152196744325),Tribeca,1,Tribeca,,,0,Manhattan
124,POINT (-73.9973046720808 40.71932379395911),Little Italy,2,Little,Italy,,0,Manhattan
125,POINT (-74.00065666959766 40.72218384131798),Soho,1,Soho,,,0,Manhattan
126,POINT (-74.00617998126819 40.734433935724375),West Village,2,West,Village,,0,Manhattan
127,POINT (-73.96428617740662 40.7973070417029),Manhattan Valley,2,Manhattan,Valley,,0,Manhattan
128,POINT (-73.96389627905339 40.80799973816586),Morningside Heights,2,Morningside,Heights,,0,Manhattan
129,POINT (-73.98137594833548 40.737209832715045),Gramercy,1,Gramercy,,,0,Manhattan
130,POINT (-74.01686930508625 40.71193198394569),Battery Park City,3,Battery,Park,City,0,Manhattan
131,POINT (-74.01066544521277 40.70710710727052),Financial District,2,Financial,District,,0,Manhattan
132,POINT (-73.91565374304241 40.768508593354966),Astoria,1,Astoria,,,0,Queens
133,POINT (-73.90184166838291 40.746349088602265),Woodside,1,Woodside,,,0,Queens
134,POINT (-73.88282109164372 40.751981380073715),Jackson Heights,2,Jackson,Heights,,0,Queens
135,POINT (-73.88165622288396 40.744048505122066),Elmhurst,1,Elmhurst,,,0,Queens
136,POINT (-73.83813764600289 40.6542252773849),Howard Beach,2,Howard,Beach,,0,Queens
137,POINT (-73.85682497345266 40.7423817501567),South Corona,2,South,Corona,,0,Queens
138,POINT (-73.8444750078899 40.725263782165065),Forest Hills,2,Forest,Hills,,0,Queens
139,POINT (-73.8298190582571 40.705179035414844),Kew Gardens,2,Kew,Gardens,,0,Queens
140,POINT (-73.83183321446894 40.69794731471767),Richmond Hill,2,Richmond,Hill,,0,Queens
141,POINT (-73.82936758711861 40.76116362081876),Downtown Flushing,2,Downtown,Flushing,,0,Queens
142,POINT (-73.93920223915512 40.75021734610532),Long Island City,3,Long,Island,City,0,Queens
143,POINT (-73.92691617561584 40.74017628351928),Sunnyside,1,Sunnyside,,,0,Queens
144,POINT (-73.86704147658779 40.764073238830946),East Elmhurst,2,East,Elmhurst,,0,Queens
145,POINT (-73.89621713626867 40.72542737409365),Maspeth,1,Maspeth,,,0,Queens
146,POINT (-73.90143517559596 40.70832315613862),Ridgewood,1,Ridgewood,,,0,Queens
147,POINT (-73.87074167435614 40.702762429678415),Glendale,1,Glendale,,,0,Queens
148,POINT (-73.85782686905377 40.72897409480739),Rego Park,1,Rego Park,,,0,Queens
149,POINT (-73.85811046554328 40.689886879157925),Woodhaven,1,Woodhaven,,,0,Queens
150,POINT (-73.84320266173454 40.68070846826546),Ozone Park,1,Ozone Park,,,0,Queens
151,POINT (-73.80986478649048 40.66854957767199),South Ozone Park,2,South,Ozone Park,,0,Queens
152,POINT (-73.84304528896132 40.78490274926025),College Point,2,College,Point,,0,Queens
153,POINT (-73.8142021661087 40.781290766026984),Whitestone,1,Whitestone,,,0,Queens
154,POINT (-73.77427363068676 40.76604063281068),Bayside,1,Bayside,,,0,Queens
155,POINT (-73.79176243728068 40.761729549032665),Auburndale,1,Auburndale,,,0,Queens
156,POINT (-73.73889775580747 40.77082619282674),Little Neck,2,Little,Neck,,0,Queens
157,POINT (-73.74249820727337 40.766846097907674),Douglaston,1,Douglaston,,,0,Queens
158,POINT (-73.71548118999152 40.74944079974336),Glen Oaks,2,Glen,Oaks,,0,Queens
159,POINT (-73.7201281482691 40.72857318176679),Bellerose,1,Bellerose,,,0,Queens
160,POINT (-73.82087764933573 40.72257824422808),Kew Gardens Hills,3,Kew,Gardens,Hills,0,Queens
161,POINT (-73.78271337003271 40.734394465331334),Fresh Meadows,2,Fresh,Meadows,,0,Queens
162,POINT (-73.81174822458641 40.710935472522756),Briarwood,1,Briarwood,,,0,Queens
163,POINT (-73.79690165888296 40.704657360687214),Jamaica Center,2,Jamaica,Center,,0,Queens
164,POINT (-73.75494976234339 40.74561857141858),Oakland Gardens,2,Oakland,Gardens,,0,Queens
165,POINT (-73.73871484578433 40.7188930921674),Queens Village,2,Queens,Village,,0,Queens
166,POINT (-73.75925009335602 40.71124344191908),Hollis,1,Hollis,,,0,Queens
167,POINT (-73.79042613135549 40.69691125378992),South Jamaica,1,South Jamaica,,,0,Queens
168,POINT (-73.75867603727725 40.69444538522363),St. Albans,1,St. Albans,,,0,Queens
169,POINT (-73.77258787620913 40.675211395917366),Rochdale,1,Rochdale,,,0,Queens
170,POINT (-73.76042092682295 40.666230490368626),Springfield Gardens,2,Springfield,Gardens,,0,Queens
171,POINT (-73.73526873708033 40.69277463916089),Cambria Heights,2,Cambria,Heights,,0,Queens
172,POINT (-73.73526079428285 40.65981643342812),Rosedale,1,Rosedale,,,0,Queens
173,POINT (-73.7549796804388 40.60313443250093),Far Rockaway,2,Far Rockaway,,,0,Queens
174,POINT (-73.82005489110327 40.603026583512424),Broad Channel,2,Broad,Channel,,0,Queens
175,POINT (-73.92551196994177 40.557401288454564),Breezy Point,2,Breezy,Point,,0,Queens
176,POINT (-73.90228960391681 40.77592301564293),Steinway,1,Steinway,,,0,Queens
177,POINT (-73.80436451720996 40.792781403600515),Beechhurst,1,Beechhurst,,,0,Queens
178,POINT (-73.77680222621588 40.7828428062456),Bay Terrace,2,Bay,Terrace,,0,Queens
179,POINT (-73.77613282391712 40.59564180736854),Edgemere,1,Edgemere,,,0,Queens
180,POINT (-73.7919923313695 40.58914394372975),Arverne,1,Arverne,,,0,Queens
181,POINT (-73.82236121088758 40.58280169684563),Seaside,1,Seaside,,,0,Queens
182,POINT (-73.85754672410836 40.57203673021705),Neponsit,1,Neponsit,,,0,Queens
183,POINT (-73.81276269135873 40.7641261226141),Murray Hill,2,Murray,Hill,,0,Queens
184,POINT (-73.70884705889253 40.74137842194548),Floral Park,1,Floral Park,,,0,Queens
185,POINT (-73.76714166714736 40.720957207644446),Holliswood,1,Holliswood,,,0,Queens
186,POINT (-73.78722696936667 40.716804830146174),Jamaica Estates,2,Jamaica,Estates,,0,Queens
187,POINT (-73.82580915110566 40.744572309286745),Queensboro Hill,2,Queensboro,Hill,,0,Queens
188,POINT (-73.79760300912679 40.72382490182924),Hillcrest,1,Hillcrest,,,0,Queens
189,POINT (-73.93157506072886 40.76170452605419),Ravenswood,1,Ravenswood,,,0,Queens
190,POINT (-73.84963782402448 40.66391841925143),Lindenwood,1,Lindenwood,,,0,Queens
191,POINT (-73.74025607989829 40.667883896602504),Laurelton,1,Laurelton,,,0,Queens
192,POINT (-73.86252471413746 40.73607457083084),Lefrak City,2,Lefrak,City,,0,Queens
193,POINT (-73.85401750392529 40.57615556543113),Belle Harbor,1,Belle Harbor,,,0,Queens
194,POINT (-73.84153370226193 40.58034295646135),Rockaway Park,1,Rockaway Park,,,0,Queens
195,POINT (-73.79664750844056 40.59771061565772),Somerville,1,Somerville,,,0,Queens
196,POINT (-73.7517531073116 40.66000322733616),Brookville,1,Brookville,,,0,Queens
197,POINT (-73.73889198912488 40.73301404027838),Bellaire,1,Bellaire,,,0,Queens
198,POINT (-73.85751790676454 40.75407099904894),North Corona,2,North,Corona,,0,Queens
199,POINT (-73.84102211234017 40.71461108151174),Forest Hills Gardens,3,Forest,Hills,Gardens,0,Queens
200,POINT (-74.07935312512804 40.64498157100444),St. George,2,St.,George,,0,Staten Island
201,POINT (-74.08701650516633 40.64061455913515),New Brighton,2,New,Brighton,,0,Staten Island
202,POINT (-74.07790192660073 40.6269276253818),Stapleton,1,Stapleton,,,0,Staten Island
203,POINT (-74.06980526716148 40.61530494652765),Rosebank,1,Rosebank,,,0,Staten Island
204,POINT (-74.10718178265617 40.63187892654611),West Brighton,2,West,Brighton,,0,Staten Island
205,POINT (-74.08724819983736 40.62418479131304),Grymes Hill,2,Grymes,Hill,,0,Staten Island
206,POINT (-74.11132881800887 40.59706851814676),Todt Hill,2,Todt,Hill,,0,Staten Island
207,POINT (-74.07955292539827 40.5802474135096),South Beach,2,South,Beach,,0,Staten Island
208,POINT (-74.12943426797015 40.63366930554369),Port Richmond,2,Port,Richmond,,0,Staten Island
209,POINT (-74.15008537046988 40.63254639048117),Mariner's Harbor,2,Mariner's,Harbor,,0,Staten Island
210,POINT (-74.17464532993549 40.63968297845546),Port Ivory,2,Port,Ivory,,0,Staten Island
211,POINT (-74.1191805853485 40.613335937667465),Castleton Corners,2,Castleton,Corners,,0,Staten Island
212,POINT (-74.16496031329834 40.59425237916174),New Springville,2,New,Springville,,0,Staten Island
213,POINT (-74.19073717538123 40.58631375103285),Travis,1,Travis,,,0,Staten Island
214,POINT (-74.11647943606387 40.57257231820636),New Dorp,2,New,Dorp,,0,Staten Island
215,POINT (-74.12156593771904 40.558462243288844),Oakwood,1,Oakwood,,,0,Staten Island
216,POINT (-74.14932381490999 40.54948022871365),Great Kills,2,Great,Kills,,0,Staten Island
217,POINT (-74.16433080419367 40.54223074745079),Eltingville,1,Eltingville,,,0,Staten Island
218,POINT (-74.17854866165885 40.538114174745104),Annadale,1,Annadale,,,0,Staten Island
219,POINT (-74.22135055371616 40.53745265012707),Woodrow,1,Woodrow,,,0,Staten Island
220,POINT (-74.24656934235291 40.505333761156464),Tottenville,1,Tottenville,,,0,Staten Island
221,POINT (-74.08055351790122 40.63731606711036),Tompkinsville,1,Tompkinsville,,,0,Staten Island
222,POINT (-74.09629029235465 40.619193107926804),Silver Lake,2,Silver,Lake,,0,Staten Island
223,POINT (-74.09712552178537 40.612760157564935),Sunnyside,1,Sunnyside,,,0,Staten Island
224,POINT (-73.96101312466787 40.64367518334101),Ditmas Park,2,Ditmas,Park,,0,Brooklyn
225,POINT (-73.93718680559321 40.660946561881154),Wingate,1,Wingate,,,0,Brooklyn
226,POINT (-73.92688212616963 40.65557231328081),Rugby,1,Rugby,,,0,Brooklyn
227,POINT (-74.08015734936303 40.60919044434562),Park Hill,2,Park,Hill,,0,Staten Island
228,POINT (-74.13304143951713 40.62109047275413),Westerleigh,1,Westerleigh,,,0,Staten Island
229,POINT (-74.1531524638777 40.62017151223193),Graniteville,1,Graniteville,,,0,Staten Island
230,POINT (-74.16510420241131 40.63532509911496),Arlington,1,Arlington,,,0,Staten Island
231,POINT (-74.06712363225581 40.596312571276776),Arrochar,1,Arrochar,,,0,Staten Island
232,POINT (-74.07667436279057 40.59826835959995),Grasmere,1,Grasmere,,,0,Staten Island
233,POINT (-74.08751118005587 40.596328913795176),Old Town,2,Old,Town,,0,Staten Island
234,POINT (-74.09639905312528 40.58867294819932),Dongan Hills,2,Dongan,Hills,,0,Staten Island
235,POINT (-74.09348266303599 40.573526905742874),Midland Beach,2,Midland,Beach,,0,Staten Island
236,POINT (-74.10585598545441 40.57621558711792),Grant City,2,Grant,City,,0,Staten Island
237,POINT (-74.10432707469131 40.56425549307338),New Dorp Beach,3,New,Dorp,Beach,0,Staten Island
238,POINT (-74.13916622175775 40.55398800858466),Bay Terrace,2,Bay,Terrace,,0,Staten Island
239,POINT (-74.19174105747821 40.53191192048964),Huguenot,1,Huguenot,,,0,Staten Island
240,POINT (-74.21983106616784 40.52469937611818),Pleasant Plains,2,Pleasant,Plains,,0,Staten Island
241,POINT (-74.22950350260034 40.506081653463085),Butler Manor,2,Butler,Manor,,0,Staten Island
242,POINT (-74.23215775896533 40.530531482833176),Charleston,1,Charleston,,,0,Staten Island
243,POINT (-74.21572851113959 40.549404006500765),Rossville,1,Rossville,,,0,Staten Island
244,POINT (-74.185886745839 40.549285822783254),Arden Heights,2,Arden,Heights,,0,Staten Island
245,POINT (-74.19150620964295 40.559712496342954),Greenridge,1,Greenridge,,,0,Staten Island
246,POINT (-74.15902208156608 40.589138948752854),Heartland Village,2,Heartland,Village,,0,Staten Island
247,POINT (-74.18956045519697 40.59472602746298),Chelsea,1,Chelsea,,,0,Staten Island
248,POINT (-74.18725638381574 40.60577868452362),Bloomfield,1,Bloomfield,,,0,Staten Island
249,POINT (-74.15940948657129 40.60959180042034),Bulls Head,2,Bulls,Head,,0,Staten Island
250,POINT (-73.95325646837121 40.78268256712574),Carnegie Hill,2,Carnegie,Hill,,0,Manhattan
251,POINT (-73.98843368023604 40.72325901885772),Noho,1,Noho,,,0,Manhattan
252,POINT (-74.00541529873362 40.715228920462856),Civic Center,2,Civic,Center,,0,Manhattan
253,POINT (-73.98871313285254 40.748509664312245),Midtown South,2,Midtown,South,,0,Manhattan
254,POINT (-74.13405729862578 40.56960594275509),Richmond Town,2,Richmond,Town,,0,Staten Island
255,POINT (-74.06667766061778 40.609719340792886),Shore Acres,2,Shore,Acres,,0,Staten Island
256,POINT (-74.07264244548406 40.61917845202847),Clifton,1,Clifton,,,0,Staten Island
257,POINT (-74.08402364740365 40.604473189687944),Concord,1,Concord,,,0,Staten Island
258,POINT (-74.09776206972529 40.606794394801035),Emerson Hill,2,Emerson,Hill,,0,Staten Island
259,POINT (-74.09805062373894 40.63563000681155),Randall Manor,2,Randall,Manor,,0,Staten Island
260,POINT (-74.1862233174983 40.638432837947995),Howland Hook,2,Howland,Hook,,0,Staten Island
261,POINT (-74.14181678968897 40.63014674119387),Elm Park,2,Elm,Park,,0,Staten Island
262,POINT (-73.91665331978055 40.65211745179353),Remsen Village,2,Remsen,Village,,0,Brooklyn
263,POINT (-73.885117763793 40.66274427969663),New Lots,2,New,Lots,,0,Brooklyn
264,POINT (-73.90233474295843 40.63131755039671),Paerdegat Basin,2,Paerdegat,Basin,,0,Brooklyn
265,POINT (-73.9151539155041 40.615974239623405),Mill Basin,2,Mill,Basin,,0,Brooklyn
266,POINT (-73.796464620816 40.71145964370486),Jamaica Hills,2,Jamaica,Hills,,0,Queens
267,POINT (-73.79671678028357 40.7335002542976),Utopia,1,Utopia,,,0,Queens
268,POINT (-73.80486120040544 40.73493618075482),Pomonok,1,Pomonok,,,0,Queens
269,POINT (-73.89467996270581 40.770317392998244),Astoria Heights,2,Astoria,Heights,,0,Queens
270,POINT (-73.90119903387674 40.83142834161551),Claremont Village,2,Claremont,Village,,0,Bronx
271,POINT (-73.91584652759016 40.82478049084294),Concourse Village,2,Concourse,Village,,0,Bronx
272,POINT (-73.91655551964426 40.843826176716576),Mount Eden,2,Mount,Eden,,0,Bronx
273,POINT (-73.90829930881995 40.84884160724669),Mount Hope,2,Mount,Hope,,0,Bronx
274,POINT (-73.9635561409431 40.76028033131378),Sutton Place,2,Sutton,Place,,0,Manhattan
275,POINT (-73.95386782130753 40.74341409007358),Hunters Point,2,Hunters,Point,,0,Queens
276,POINT (-73.96770824581843 40.75204236950726),Turtle Bay,2,Turtle,Bay,,0,Manhattan
277,POINT (-73.97121928722272 40.74691741074023),Tudor City,2,Tudor,City,,0,Manhattan
278,POINT (-73.9740517046921 40.73099955477065),Stuyvesant Town,2,Stuyvesant,Town,,0,Manhattan
279,POINT (-73.99094710528267 40.73967304763847),Flatiron,1,Flatiron,,,0,Manhattan
280,POINT (-73.9181928643169 40.745651806080794),Sunnyside Gardens,2,Sunnyside,Gardens,,0,Queens
281,POINT (-73.93244235260185 40.73725071694501),Blissville,1,Blissville,,,0,Queens
282,POINT (-73.99550751888422 40.70328109093018),Fulton Ferry,2,Fulton,Ferry,,0,Brooklyn
283,POINT (-73.981116035924 40.703321498828785),Vinegar Hill,2,Vinegar,Hill,,0,Brooklyn
284,POINT (-73.93053108817347 40.67503986503241),Weeksville,1,Weeksville,,,0,Brooklyn
285,POINT (-73.90331684852606 40.67786104769535),Broadway Junction,2,Broadway,Junction,,0,Brooklyn
286,POINT (-73.98875280745047 40.70317632822696),Dumbo,1,Dumbo,,,0,Brooklyn
287,POINT (-74.12059399718008 40.60180957631448),Manor Heights,2,Manor,Heights,,0,Staten Island
288,POINT (-74.13208447484305 40.60370692627375),Willowbrook,1,Willowbrook,,,0,Staten Island
289,POINT (-74.21776636068574 40.5411399220918),Sandy Ground,2,Sandy,Ground,,0,Staten Island
